sample_id,scientificName,species,catalogNumber,verbatimLatitude,verbatimLongitude,Day,Month,year,ITD,Head_width,Eye_top,Eye_bottom,Rear_Ocelli_size,Front_Ocelli_Size,Ocelli_distance,Head_Length,Eye_Length,Eye_width,L_Wing_length,R_Wing_length,significance_corrected,Area,Body_Shape_checked,Bio1,Bio4,Bio7,Bio12,Bio14,Bio15,Bio16,Bio19,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
158,Xylocopa (Lestis) bombylans,bombylans,K.488172,-25.083,152.517,6,11,1984,4.506,5.63,2.955,2.925,0.279,0.364,0.634,0.587,3.421,1.57,5.14,5.088,Non-significant,629810.41,0.5854533,216.6666667,31.90959452,149,982,16,59.77751733,415,179,-3.124941178,-0.710644108,-0.050770302,0.462802988,-0.315247576,0.405664067,-0.361064231,0.021407733,0.087325903,-0.016451894,-0.018173105
159,Xylocopa (Lestis) bombylans,bombylans,K.488182,-28.141,153.224,30,9,1984,4.451,5.467,2.779,2.818,0.242,0.365,0.643,0.523,3.486,1.624,4.87,4.958,Non-significant,629810.41,0.531186081,189.4166667,32.9803182,162,1281,26,43.44326846,414,288,-2.63239897,-1.27086271,-0.072646001,0.380774777,-0.361209945,0.018627138,0.247364822,0.191413415,-0.051709211,0.098799003,-0.00294567
160,Xylocopa (Lestis) bombylans,bombylans,K.488173,-12.6897,142.3539,4,6,1985,4.542,5.522,2.731,2.863,0.226,0.342,0.717,0.557,3.422,1.602,4.942,4.953,Non-significant,629810.41,0.536368189,261.5,16.93000295,129,1965,1,108.9565166,1321,6,-2.587019703,-0.933730484,0.166563581,0.224056075,-0.608701403,-0.426193222,0.385503518,0.220942371,-0.195786087,0.070226872,0.08406825
161,Xylocopa (Lestis) bombylans,bombylans,K.488181,-12.6897,142.3539,7,8,1986,4.784,6.073,3.1,3.221,0.318,0.292,0.692,0.653,3.828,1.507,5.186,5.234,Non-significant,629810.41,0.671775721,265.5,11.90763061,118,1500,4,147.3457104,1147,12,-3.869378738,0.069548243,0.615162552,-0.019283884,-0.408947411,0.924049256,-0.735651242,0.533598433,0.158159939,0.053550967,0.061427895
162,Xylocopa (Lestis) bombylans,bombylans,K.488171,-24.2125,151.903333,18,8,1992,4.616,5.779,3.029,3.072,0.24,0.359,0.776,0.597,3.579,1.68,5.136,5.087,Non-significant,629810.41,0.613533691,223.125,32.5775517,147,1344,9,94.17054738,756,67,-3.429377766,-0.568311585,0.094378839,0.104101185,-0.635512317,-0.458878854,0.392917705,0.16313007,-0.047373958,-0.014022981,-0.015035392
163,Xylocopa (Lestis) bombylans,bombylans,K.488185,-31.2733,149.2772,30,4,1995,4.098,5.188,2.764,2.843,0.207,0.313,0.668,0.48,3.153,1.451,4.615,4.597,Non-significant,629810.41,0.443643009,162.1666667,47.72068617,236,659,1,102.9506428,377,67,-1.723825893,-1.428301431,0.119835593,-0.176250254,-0.959120003,-0.292633709,0.453269323,0.09800603,-0.050055763,0.023861932,-0.034050457
164,Xylocopa (Lestis) bombylans,bombylans,K.488274,-25.88,153.08,6,1,1999,4.662,5.958,3.097,3.163,0.326,0.378,0.676,0.589,3.55,1.646,5.13,5.119,Non-significant,629810.41,0.655499498,213.625,29.20268609,148,1614,51,52.47084059,725,326,-3.978599848,-0.523121086,-0.240135717,0.07533003,0.011487446,0.804772689,-0.828211599,0.084454041,0.019497688,0.013921239,-0.017516773
165,Leioproctus (Leioproctus) clarki,clarki,HYM17219,-36.27,141.8,1,8,1928,2.579,3.179,1.937,1.986,0.216,0.206,0.516,0.834,1.805,0.696,2.703,2.591,Non-significant,900803.23,0.134696833,145.5416667,45.11488037,238,451,3,67.29898218,162,98,2.683656344,1.801300916,-0.256644974,-0.272311933,-0.29573149,0.25958417,-0.483882045,-0.024880403,-0.009253318,-0.100834619,-0.054946774
166,Leioproctus (Leioproctus) clarki,clarki,HYM17083,-37.88,145.3,23,3,1931,2.409,3.259,1.907,2.008,0.173,0.185,0.451,0.741,1.604,0.785,2.77,2.827,Non-significant,900803.23,0.082282773,124.625,30.9523323,160,1342,21,53.62907888,547,385,3.081692517,0.896772196,0.068246725,-0.154686346,-0.757588039,0.154523623,0.066803296,-0.44009425,-0.127308301,0.043924773,-0.02676529
167,Leioproctus (Leioproctus) clarki,clarki,HYM17097,-37.88,145.3,23,3,1931,2.58,3.348,1.915,2.159,0.198,0.191,0.465,0.786,1.874,0.805,2.783,2.787,Non-significant,900803.23,0.127423718,124.625,30.9523323,160,1342,21,53.62907888,547,385,2.624336482,1.309648394,0.003573115,-0.171616535,-0.543599346,0.451326566,-0.077240321,-0.136178995,-0.193601021,-0.003574552,-0.072101941
168,Leioproctus (Leioproctus) clarki,clarki,HYM16849,-33.58,150.25,1,1,1931,2.508,3.35,2.007,2.185,0.166,0.206,0.487,0.752,1.873,0.773,2.747,2.65,Non-significant,900803.23,0.114066367,109.1666667,42.71969361,224,1296,20,55.52922344,590,233,2.780405004,1.024191773,-0.190327602,-0.260666285,-0.897249204,0.087910937,0.389532903,-0.148633786,-0.077551129,-0.090297632,-0.071587657
169,Leioproctus (Leioproctus) clarki,clarki,HYM16851,-33.58,150.25,1,1,1931,2.491,3.226,1.922,2.24,0.176,0.215,0.482,0.599,1.53,0.777,2.713,2.66,Non-significant,900803.23,0.048359665,109.1666667,42.71969361,224,1296,20,55.52922344,590,233,2.946829171,-0.076640638,-0.41171601,-0.705685239,-0.916122996,0.115158058,-0.055909655,-0.404595842,-0.344407072,-0.009692455,-0.133419694
170,Leioproctus (Leioproctus) clarki,clarki,HYM17096,-37.67,144.57,21,2,1932,2.448,3.202,1.917,2.022,0.186,0.207,0.497,0.776,1.834,0.744,2.739,2.789,Non-significant,900803.23,0.107212289,132.4583333,35.65077041,199,696,2,62.64311394,301,171,2.790173182,1.22740818,-0.157896456,-0.153068635,-0.597654261,0.070782283,-0.044914298,-0.083963469,-0.066186512,0.022850695,-0.085318936
171,Leioproctus (Leioproctus) clarki,clarki,HYM17101,-37.67,144.57,14,2,1932,2.58,3.391,1.944,2.288,0.184,0.216,0.509,0.836,1.916,0.809,2.788,2.803,Non-significant,900803.23,0.14514777,132.4583333,35.65077041,199,696,2,62.64311394,301,171,2.441688154,1.686153005,-0.220945513,-0.064027537,-0.717502489,0.146129998,0.209673949,-0.119757015,-0.265569114,-0.003803381,-0.10203152
172,Leioproctus (Leioproctus) clarki,clarki,HYM16842,-35.27,149.1,1,2,1936,2.634,3.343,1.91,2.231,0.163,0.21,0.421,0.642,1.249,0.529,2.855,2.824,Non-significant,900803.23,0.030322317,121.5,48.38129804,231,825,16,51.41047853,337,244,3.367972733,0.192619402,-0.427996594,-0.283200705,-1.509796207,0.196152921,-0.263393969,-0.635085723,-0.196180801,0.032185781,0.059302458
173,Leioproctus (Leioproctus) clarki,clarki,HYM16843,-35.27,149.1,1,2,1936,2.738,3.384,1.958,2.176,0.196,0.226,0.487,0.691,1.998,0.743,2.815,2.763,Non-significant,900803.23,0.12230359,121.5,48.38129804,231,825,16,51.41047853,337,244,2.459630212,0.593551449,-0.380916548,-0.335684567,-0.656505243,0.307870513,-0.127055599,0.095751528,-0.101295718,-0.033142752,-0.065579406
174,Leioproctus (Leioproctus) clarki,clarki,HYM17144,-37,142.45,1,1,1938,2.332,3.195,1.935,2.193,0.177,0.203,0.557,0.74,1.797,0.655,2.692,2.693,Non-significant,900803.23,0.089003511,109.9166667,41.47882659,210,501,6,74.29816315,229,229,2.799724306,1.09215849,-0.263120715,-0.543532037,-0.950447635,-0.174230445,-0.033576865,0.044288816,-0.161062502,0.002289042,-0.111088032
175,Leioproctus (Leioproctus) clarki,clarki,HYM17054,-31.88,116.08,17,12,1947,2.474,3.298,1.805,2.086,0.182,0.205,0.456,0.782,1.837,0.738,2.744,2.694,Non-significant,900803.23,0.104884179,173.6666667,39.34745509,209,1150,0,107.0361813,757,319,2.937276731,1.22809111,-0.168631606,-0.015643401,-0.659281019,0.278375756,0.062900031,-0.071386001,-0.223508472,-0.022470335,0.022575328
176,Leioproctus (Leioproctus) clarki,clarki,HYM17062,-33.33,115.63,7,11,1947,2.17,3.082,1.827,1.938,0.18,0.198,0.473,0.749,1.793,0.646,2.604,2.503,Non-significant,900803.23,0.071390682,165.4166667,29.75303439,162,1073,3,101.4506265,683,315,3.261602241,1.056080854,-0.228983711,-0.259387551,-0.644760746,0.142245261,-0.049546097,0.046502063,-0.035413143,-0.074821515,-0.013962729
177,Leioproctus (Leioproctus) clarki,clarki,HYM16929,-31.93,115.8,9,11,1947,2.419,3.187,1.87,2.038,0.176,0.226,0.442,0.797,1.892,0.674,2.686,2.671,Non-significant,900803.23,0.098964125,179.9583333,34.89475745,179,1018,0,106.3175509,669,257,3.012094545,1.303515069,-0.399847436,0.155212379,-0.715204868,0.242572049,0.147938514,-0.009638858,-0.023101479,-0.029743572,-0.048459056
178,Leioproctus (Leioproctus) clarki,clarki,HYM17041,-31.92,116.02,16,11,1948,2.376,3.227,1.89,2.099,0.179,0.182,0.482,0.81,1.973,0.714,2.724,2.717,Non-significant,900803.23,0.111260852,183.8333333,40.18308793,199,852,0,105.1389806,570,570,2.885696441,1.495768434,0.065009732,-0.111882337,-0.744541693,0.21698483,0.154886198,0.092939458,-0.082827835,-0.023793449,-0.074861777
179,Leioproctus (Leioproctus) clarki,clarki,HYM17036,-31.92,116.02,16,11,1948,2.373,3.14,1.82,2.01,0.18,0.213,0.489,0.858,1.915,0.715,2.719,2.658,Non-significant,900803.23,0.115836789,183.8333333,40.18308793,199,852,0,105.1389806,570,570,2.929033465,1.816777416,-0.21773061,0.143773236,-0.561693611,0.05430804,0.130619325,0.048546985,-0.122286133,-0.06063095,-0.050721846
180,Leioproctus (Leioproctus) clarki,clarki,HYM17079,-37.75,142.03,24,1,1948,2.285,3.177,1.847,2.027,0.175,0.214,0.475,0.817,1.933,0.708,2.723,2.622,Non-significant,900803.23,0.108281051,122.0833333,31.81118339,180,686,12,60.84694368,239,165,2.965627567,1.489284024,-0.250314569,0.074777347,-0.654464661,0.102413837,0.202264409,0.057086292,-0.084404683,-0.087748942,-0.039113377
181,Leioproctus (Leioproctus) clarki,clarki,HYM17053,-31.88,116.08,19,11,1948,2.629,3.149,1.935,2.161,0.221,0.226,0.452,0.836,2.054,0.775,2.875,2.851,Non-significant,900803.23,0.145262468,178.0833333,41.15915923,205,967,0,107.5751258,655,655,2.322200626,1.658420174,-0.290356489,0.159848117,-0.282864785,0.631434985,-0.360505711,0.064809982,-0.10720344,-0.059027807,-0.261754835
182,Leioproctus (Leioproctus) clarki,clarki,HYM17119,-37.064028,149.902351,1,1,1949,2.633,3.52,2.065,2.249,0.213,0.212,0.536,0.89,1.887,0.764,2.934,2.874,Non-significant,900803.23,0.192551803,148.9583333,27.23926267,116,1056,18,53.71366305,371,280,2.089743601,2.189844688,-0.165257563,-0.096193518,-0.559853819,0.252404552,-0.287284077,-0.162952925,-0.091731198,-0.064803012,-0.043426294
183,Leioproctus (Leioproctus) clarki,clarki,HYM17120,-37.064028,149.902351,1,1,1949,2.894,3.719,1.981,2.241,0.233,0.246,0.548,1.006,2.313,0.922,3.271,3.253,Non-significant,900803.23,0.283790427,148.9583333,27.23926267,116,1056,18,53.71366305,371,280,1.259534578,2.899505473,-0.106410647,0.624680644,-0.092834605,0.28020973,-0.26427502,0.106215677,-0.216724017,-0.030533425,-0.016258032
184,Leioproctus (Leioproctus) clarki,clarki,HYM17103,-37.98,145.13,31,1,1949,2.337,3.274,2.201,2.189,0.157,0.186,0.545,0.81,1.86,0.757,2.62,2.732,Non-significant,900803.23,0.121923705,131.8333333,29.59401216,152,976,27,61.26550909,333,150,2.720193825,1.55937531,-0.005597668,-0.436847121,-1.044692802,-0.200867266,0.547616483,-0.209247525,0.160373142,0.004804955,-0.207074735
185,Leioproctus (Leioproctus) clarki,clarki,HYM16802,-33.93,118,4,3,1954,2.378,3.251,1.823,2.014,0.206,0.213,0.412,0.686,1.913,0.724,2.699,2.672,Non-significant,900803.23,0.089477964,146.1666667,38.2580783,208,228,1,75.44313532,122,100,2.881880924,0.507490154,-0.305490886,-0.183389641,-0.40826617,0.674710206,-0.321726319,0.054712119,-0.102860921,-0.006890779,-0.019709632
186,Leioproctus (Leioproctus) clarki,clarki,HYM16800,-33.93,118,4,3,1954,2.284,3.11,1.666,1.931,0.189,0.191,0.367,0.764,1.947,0.682,2.45,2.455,Non-significant,900803.23,0.065617135,146.1666667,38.2580783,208,228,1,75.44313532,122,100,3.464786004,1.062059799,-0.16840685,0.065390895,-0.401255149,0.783873064,0.035821502,0.170209104,-0.13259184,0.006337852,0.036318378
187,Leioproctus (Leioproctus) clarki,clarki,HYM16756,-33.57,115.85,25,3,1956,2.438,3.282,1.851,1.993,0.226,0.226,0.477,0.63,1.893,0.745,2.783,2.725,Non-significant,900803.23,0.10137635,154.5,41.47790577,216,1011,1,104.9423231,701,483,2.531550197,0.181082102,-0.423261131,-0.517995362,-0.218432164,0.489965322,-0.724097865,0.112296739,-0.140611381,-0.007884825,-0.019590725
188,Leioproctus (Leioproctus) clarki,clarki,HYM16769,-33.57,115.85,25,3,1956,2.481,3.268,1.789,1.934,0.21,0.159,0.452,0.737,1.933,0.762,2.715,2.692,Non-significant,900803.23,0.105273668,154.5,41.47790577,216,1011,1,104.9423231,701,483,2.920711335,0.981066045,0.281060353,-0.353728307,-0.298718476,0.588720024,-0.365121487,0.114651656,-0.131486926,0.001460505,0.038126262
189,Leioproctus (Leioproctus) clarki,clarki,HYM16775,-33.57,115.85,25,3,1956,2.462,3.343,1.919,2.084,0.206,0.191,0.472,0.731,1.921,0.807,2.799,2.767,Non-significant,900803.23,0.123153134,154.5,41.47790577,216,1011,1,104.9423231,701,483,2.576833342,0.912720843,0.001330668,-0.338432806,-0.423553216,0.464555535,-0.238411372,-0.034707428,-0.136781401,-0.02136145,-0.054707315
190,Leioproctus (Leioproctus) clarki,clarki,HYM16789,-33.57,115.85,25,3,1956,2.343,3.157,1.721,1.875,0.196,0.181,0.426,0.803,1.943,0.808,2.744,2.738,Non-significant,900803.23,0.104431893,154.5,41.47790577,216,1011,1,104.9423231,701,483,3.028654508,1.338099089,0.177833576,0.132762054,-0.233405902,0.470802391,-0.071992423,0.027478882,-0.174855761,-0.000907179,-0.002930081
191,Leioproctus (Leioproctus) clarki,clarki,HYM16805,-33.55,115.55,8,1,1957,2.529,3.38,1.951,2.099,0.203,0.206,0.482,0.895,2.012,0.814,2.746,2.782,Non-significant,900803.23,0.17023567,168.875,30.02230074,168,922,1,110.7074665,574,283,2.440137289,2.122379177,-0.080508932,0.117445248,-0.342596258,0.394904582,0.018617513,-0.042762018,-0.066350595,-0.010246264,-0.051091504
192,Leioproctus (Leioproctus) clarki,clarki,HYM16794,-33.57,115.85,25,3,1958,2.472,3.308,1.876,1.957,0.202,0.221,0.462,0.83,1.971,0.755,2.799,2.808,Non-significant,900803.23,0.142869842,162.1666667,39.67699445,201,935,4,120.2872518,647,485,2.625299387,1.572003381,-0.22259968,0.186663141,-0.329504055,0.337712771,-0.159959148,0.012816812,-0.01829491,-0.005998101,0.006531941
193,Leioproctus (Leioproctus) clarki,clarki,HYM16791,-33.57,115.85,25,3,1958,2.335,3.171,1.814,1.883,0.187,0.206,0.462,0.833,1.9,0.776,2.698,2.645,Non-significant,900803.23,0.11707674,162.1666667,39.67699445,201,935,4,120.2872518,647,485,2.979096933,1.589789633,-0.111985305,0.129740748,-0.326957721,0.198539932,0.068204191,-0.029951378,-0.065235476,-0.052876541,0.002553826
194,Leioproctus (Leioproctus) clarki,clarki,HYM16771,-33.57,115.85,25,7,1958,2.293,3.268,1.782,2.019,0.203,0.215,0.457,0.828,1.943,0.772,2.695,2.701,Non-significant,900803.23,0.127247598,162.1666667,39.67699445,201,935,4,120.2872518,647,485,2.747518831,1.589030378,-0.232779715,0.097490939,-0.285124538,0.42575704,-0.131164812,0.037920249,-0.197652567,0.005439353,0.003744659
195,Leioproctus (Leioproctus) clarki,clarki,HYM16980,-33.568084,115.040754,6,3,1960,2.185,2.982,1.702,1.866,0.17,0.209,0.453,0.689,1.723,0.69,2.555,2.586,Non-significant,900803.23,0.033646199,153.5416667,24.4100887,124,1007,11,90.52720528,609,445,3.467897758,0.512866692,-0.294491536,-0.191144645,-0.598888839,0.039072741,0.028332128,-0.011199728,-0.173197713,0.04274766,-0.0238856
196,Leioproctus (Leioproctus) clarki,clarki,HYM16981,-33.568084,115.040754,6,3,1960,2.299,3.075,1.754,1.957,0.193,0.205,0.45,0.619,1.862,0.761,2.731,2.835,Non-significant,900803.23,0.049650369,153.5416667,24.4100887,124,1007,11,90.52720528,609,445,2.980647957,-0.014004565,-0.151084493,-0.336573372,-0.47539883,0.295053422,-0.284294245,0.07009689,-0.218871687,0.10317954,-0.115730812
197,Leioproctus (Leioproctus) clarki,clarki,HYM16977,-33.568084,115.040754,6,3,1960,2.319,3.203,1.826,2.068,0.166,0.211,0.443,0.783,1.905,0.751,2.582,2.658,Non-significant,900803.23,0.088263608,153.5416667,24.4100887,124,1007,11,90.52720528,609,445,3.097305073,1.188220553,-0.241069873,0.049456695,-0.709527269,0.21535737,0.402495124,-0.033324905,-0.142893687,0.040147563,-0.052337551
198,Leioproctus (Leioproctus) clarki,clarki,HYM16978,-33.568084,115.040754,6,3,1960,2.283,3.151,1.787,2.238,0.152,0.22,0.432,0.523,1.846,0.718,2.527,2.587,Non-significant,900803.23,0.005897051,153.5416667,24.4100887,124,1007,11,90.52720528,609,445,3.278176372,-0.753239714,-0.503767755,-0.611155006,-1.102354747,0.221244367,0.390400249,0.067246239,-0.331762277,0.076398913,-0.132518898
199,Leioproctus (Leioproctus) clarki,clarki,HYM16979,-33.568084,115.040754,6,3,1960,2.155,3.055,1.654,2.133,0.16,0.21,0.411,0.512,1.8,0.701,2.54,2.61,Non-significant,900803.23,-0.01493467,153.5416667,24.4100887,124,1007,11,90.52720528,609,445,3.469457205,-0.852017923,-0.395115869,-0.541010269,-0.955724673,0.31261068,0.162784055,0.109930212,-0.412959884,0.106696527,-0.096467825
200,Leioproctus (Leioproctus) clarki,clarki,HYM17170,-38.42,141.55,6,2,1989,2.323,3.005,1.811,1.899,0.183,0.216,0.489,0.8,1.9,0.75,2.654,2.75,Non-significant,900803.23,0.090838601,138.75,31.01780403,132,884,27,45.17098327,352,352,2.9758689,1.358689381,-0.21766065,0.045614093,-0.404390606,-0.006070535,0.028557934,0.047001034,-0.079132156,0.047649678,-0.131212231
201,Leioproctus (Leioproctus) clarki,clarki,HYM17150,-30.88,121.13,2,11,1989,2.429,3.056,1.902,1.987,0.171,0.223,0.532,0.81,1.803,0.661,2.846,2.879,Non-significant,900803.23,0.096653673,186.0833333,57.88164409,278,235,1,110.8121647,174,70,2.863130703,1.458647951,-0.26874017,0.057737744,-0.813956854,-0.340829186,0.005918489,-0.03555136,-0.02984728,0.007040264,-0.13343169
202,Leioproctus (Leioproctus) clarki,clarki,HYM17161,-35.003805,117.265231,5,11,1989,2.674,3.513,1.989,2.21,0.187,0.216,0.545,1.989,2.13,0.732,3.009,3.957,Non-significant,900803.23,0.420388852,154.8333333,26.05389713,128,1288,11,52.79098004,488,488,1.678721606,10.15790742,0.563197177,3.462281645,-0.448676368,-0.244831468,0.826535198,-0.526805628,0.101629003,0.474388117,-0.090252545
203,Leioproctus (Leioproctus) clarki,clarki,HYM17158,-35.003805,117.265231,5,11,1989,2.839,3.569,1.931,2.274,0.197,0.219,0.518,0.837,2.177,0.834,3.075,3.019,Non-significant,900803.23,0.190608663,154.8333333,26.05389713,128,1288,11,52.79098004,488,488,1.986605114,1.637941638,-0.060524951,0.126374786,-0.614206806,0.201807576,0.059213351,0.1328878,-0.25043626,-0.036177677,-0.031216645
204,Leioproctus (Leioproctus) clarki,clarki,HYM16828,-35.003805,117.265231,5,11,1989,2.396,3.182,1.815,2.036,0.168,0.201,0.476,0.68,1.844,0.686,2.433,2.466,Non-significant,900803.23,0.057561547,154.8333333,26.05389713,128,1288,11,52.79098004,488,488,3.280947441,0.540434656,-0.318243359,-0.505256398,-0.759929681,0.128483527,0.223218407,0.101847569,-0.127926721,0.033276545,0.005773653
205,Leioproctus (Leioproctus) clarki,clarki,HYM16915,-31.93,132.27,27,10,1989,2.761,3.394,1.852,2.131,0.184,0.192,0.471,0.635,1.976,0.755,2.665,2.646,Non-significant,900803.23,0.090054365,169.7916667,34.47188367,158,373,4,92.22900799,239,188,2.837010545,0.186065364,-0.114238834,-0.579535956,-0.713348192,0.356547933,0.041378642,0.153760906,-0.19372152,0.015817238,0.027434551
206,Leioproctus (Leioproctus) clarki,clarki,HYM16830,-32.48,116.88,8,11,1989,2.353,2.986,1.691,1.933,0.171,0.191,0.452,0.729,1.734,0.665,2.449,2.5,Non-significant,900803.23,0.036767256,161.4166667,48.53900207,242,508,1,88.53007379,297,210,3.554977966,0.877196019,-0.193328957,-0.252296114,-0.644368,0.158191398,0.075263428,0.03510319,-0.204313341,0.050282353,-0.022720373
207,Leioproctus (Leioproctus) clarki,clarki,HYM16829,-32.48,116.88,8,11,1989,2.31,3.045,1.759,1.892,0.162,0.175,0.438,0.757,1.775,0.645,2.679,2.64,Non-significant,900803.23,0.05273602,161.4166667,48.53900207,242,508,1,88.53007379,297,210,3.524252943,1.016828987,0.088882032,-0.021839915,-0.831168072,0.119410789,0.157719612,-0.008546918,-0.060440678,-0.023738299,0.0005844
208,Leioproctus (Leioproctus) clarki,clarki,HYM17016,-37.83,140.78,7,2,1990,2.509,3.221,1.881,2.006,0.167,0.211,0.489,0.861,1.839,0.751,2.749,2.75,Non-significant,900803.23,0.12039035,143.875,28.6480984,135,695,13,73.84596722,379,379,2.935150539,1.791949248,-0.140169621,0.196223243,-0.692597553,-0.078254446,0.325533611,-0.145816684,-0.080036644,-0.020894612,-0.027480846
209,Leioproctus (Leioproctus) clarki,clarki,HYM17022,-36.77,140.68,9,2,1990,2.599,3.279,1.976,2.054,0.194,0.214,0.509,0.892,1.935,0.743,2.771,2.789,Non-significant,900803.23,0.156311386,147.7916667,38.66709321,197,567,16,73.26615413,308,308,2.548386337,2.116332759,-0.181546561,0.105859912,-0.499196915,0.11619775,-0.007033491,-0.050243065,0.012682581,-0.026679001,-0.074869451
210,Leioproctus (Leioproctus) clarki,clarki,HYM17028,-36.77,140.68,9,2,1990,2.246,3.088,1.724,1.895,0.169,0.206,0.37,0.732,1.859,0.739,2.458,2.428,Non-significant,900803.23,0.0540988,147.7916667,38.66709321,197,567,16,73.26615413,308,308,3.552412085,0.746950551,-0.278883847,0.070652478,-0.494592178,0.529099307,0.340412353,-0.029093288,-0.095405197,-0.028225559,0.01302865
211,Leioproctus (Leioproctus) clarki,clarki,HYM17007,-37.5,140.23,8,2,1990,2.876,3.546,1.953,2.213,0.246,0.267,0.502,0.852,2.139,0.766,2.965,2.804,Non-significant,900803.23,0.215329481,147.9166667,28.61004583,134,671,16,80.32971953,387,387,1.74884488,1.851225074,-0.699400908,0.099000257,-0.078979235,0.623466504,-0.665890725,0.18512546,-0.141167357,-0.117792745,-0.007592834
212,Leioproctus (Leioproctus) clarki,clarki,HYM17006,-37.5,140.23,8,2,1990,2.811,3.726,2.024,2.235,0.206,0.251,0.502,0.958,2.128,0.796,3.106,3.062,Non-significant,900803.23,0.240891439,147.9166667,28.61004583,134,671,16,80.32971953,387,387,1.800509693,2.508365691,-0.339438134,0.578796366,-0.521550189,0.273069478,-0.005874357,-0.051426219,-0.062227559,-0.05092639,0.068942408
213,Leioproctus (Leioproctus) clarki,clarki,HYM17004,-37.5,140.23,8,2,1990,2.635,3.504,1.829,2.095,0.187,0.21,0.43,0.92,2.073,0.862,2.879,2.869,Non-significant,900803.23,0.178158547,147.9166667,28.61004583,134,671,16,80.32971953,387,387,2.531009052,2.140454589,0.019214311,0.570640945,-0.416812872,0.461906688,0.3374488,-0.08122316,-0.198672389,-0.019499392,0.066625358
214,Leioproctus (Leioproctus) clarki,clarki,HYM17014,-37.5,140.23,7,2,1990,2.463,3.201,1.871,2.024,0.171,0.216,0.462,0.796,1.921,0.841,2.659,2.648,Non-significant,900803.23,0.110100164,147.9166667,28.61004583,134,671,16,80.32971953,387,387,2.907915192,1.273378677,-0.209068153,0.045766159,-0.503988741,0.130800492,0.418818446,-0.11063633,-0.136871134,-0.033233792,-0.084140455
215,Leioproctus (Leioproctus) clarki,clarki,HYM17001,-37.83,140.78,8,2,1990,2.593,3.592,1.913,2.224,0.208,0.231,0.49,0.901,2.052,0.809,2.91,2.956,Non-significant,900803.23,0.196375064,143.875,28.6480984,135,695,13,73.84596722,379,379,2.101330776,2.131386912,-0.252860262,0.296289702,-0.436097875,0.388692396,-0.071387942,-0.021609238,-0.21117144,0.029717994,0.036398678
216,Hyleoides concinna,concinna,HYM38340,-37.92,147.75,12,12,1908,2.699,3.307,1.738,1.226,0.194,0.221,0.346,0.741,2.499,1.274,4.318,4.362,Significant,441957.55,0.202269418,145.9166667,41.97560469,198,535,24,35.90774702,164,145,1.695232411,0.018930073,1.207023391,1.978217048,0.416450616,0.014411109,-0.086133942,-0.157709081,0.096699915,0.049274393,-0.083617299
217,Hyleoides concinna,concinna,HYM38398,-37.92,147.75,12,12,1908,2.328,3.028,1.655,1.066,0.179,0.208,0.444,0.693,2.155,1.086,3.966,3.929,Significant,441957.55,0.131006447,145.9166667,41.97560469,198,535,24,35.90774702,164,145,2.422941249,-0.09222724,0.990801753,1.280052948,0.242840354,-0.623324031,-0.256449158,-0.093231708,0.110766229,0.017251233,0.008461965
218,Hyleoides concinna,concinna,HYM38408,-37.92,147.75,1,12,1908,2.597,3.136,1.687,1.165,0.2,0.228,0.432,0.728,2.285,1.137,4.099,4.049,Significant,441957.55,0.172940585,145.9166667,41.97560469,198,535,24,35.90774702,164,145,1.963746485,0.144386712,0.880565014,1.48139959,0.431357226,-0.369607078,-0.425540344,-0.060657933,0.066683189,0.001649062,-0.033223374
219,Hyleoides concinna,concinna,HYM38365,-37.76,145.35,1,1,1914,2.711,3.269,1.716,1.269,0.213,0.228,0.441,0.592,2.377,1.182,4.104,4.048,Significant,441957.55,0.167732289,145.1666667,41.25092592,213,693,4,61.33616096,273,173,1.693530346,-0.824775847,0.832299231,1.003058019,0.464828425,-0.194946564,-0.603503281,0.071990057,-0.012486336,0.02336111,-0.03719932
220,Hyleoides concinna,concinna,HYM38429,-37.92,147.75,22,1,1914,2.298,2.973,1.611,1.037,0.194,0.199,0.369,0.592,2.228,1.126,3.61,3.688,Significant,441957.55,0.095683996,153.5,37.11075765,178,550,2,61.43404321,201,123,2.678114596,-0.832629756,0.898535232,0.954169866,0.550577806,-0.023491676,-0.312195327,0.017931382,0.129096652,0.093199938,-0.019730432
221,Hyleoides concinna,concinna,HYM38400,-37.65,145.53,25,2,1914,2.351,2.971,1.625,1.205,0.178,0.206,0.362,0.629,2.183,0.932,3.893,3.75,Significant,441957.55,0.090469707,146.9166667,43.04688981,225,647,4,61.90957031,237,142,2.754696999,-0.573904904,0.801680371,1.248463043,-0.075252747,-0.126968694,-0.326019709,0.061949957,0.136978075,-0.055147547,-0.019352323
222,Hyleoides concinna,concinna,HYM38372,-33.98,151.07,3,4,1922,2.627,3.136,1.817,1.171,0.204,0.242,0.436,0.642,2.423,1.126,4.286,4.195,Significant,441957.55,0.175616096,176.9583333,37.45912124,168,854,7,62.50900655,327,232,1.663104724,-0.538546302,0.814177445,1.389662718,0.347574551,-0.382660142,-0.552150591,0.056088392,0.243124179,-0.039882434,-0.135217035
